celltype,regulon,mean_pos,mean_neg,log2_fc,ranksum_stat,pvalue,n_pos,n_neg,qvalue
Basal Cells,KLF6_regulon,0.18516886,0.20723674,-0.16243827,-5.63985679935205,1.7019164382321606e-08,561,1130,5.020653492784874e-07
Basal Cells,RELA_regulon,0.022026926,0.02625268,-0.25319654,-5.744094883329497,9.241396045379718e-09,561,1130,5.020653492784874e-07
Basal Cells,STAT3_regulon,0.09623839,0.104373544,-0.117071636,-5.333700397451777,9.623125143830635e-08,561,1130,1.8925479449533582e-06
Basal Cells,ATF4_regulon,0.18934141,0.20818746,-0.13689321,-5.1722397833558125,2.313044922474716e-07,561,1130,2.729393008520165e-06
Basal Cells,IRF7_regulon,0.020304672,0.016101537,0.33461332,5.175730251921268,2.2702126055715715e-07,561,1130,2.729393008520165e-06
Basal Cells,FOSL2_regulon,0.07308472,0.08254448,-0.17560203,-5.062078479994563,4.147102340425756e-07,561,1130,3.9362852499126594e-06
Basal Cells,NOTCH1_regulon,0.093424805,0.102653705,-0.13590816,-5.039390434319107,4.670168940574342e-07,561,1130,3.9362852499126594e-06
Basal Cells,MAFB_regulon,0.09449855,0.10630915,-0.16990168,-4.914897055484551,8.882912316121221e-07,561,1130,5.823242518346134e-06
Basal Cells,MEF2A_regulon,0.050264798,0.055415228,-0.14073405,-4.92108470430513,8.606586871164386e-07,561,1130,5.823242518346134e-06
Basal Cells,ATF6_regulon,0.068416126,0.07470505,-0.12686937,-4.791249850847681,1.6574557315534262e-06,561,1130,9.778988816165215e-06
Basal Cells,ATF3_regulon,0.19578737,0.22060084,-0.17215057,-4.714406656520318,2.424160993059327e-06,561,1130,1.3002318053681845e-05
Basal Cells,CEBPA_regulon,0.011213764,0.013777247,-0.29701707,-4.580711133285927,4.633975317309555e-06,561,1130,2.2783711976771978e-05
Basal Cells,GATA3_regulon,0.0035728023,0.0061244764,-0.7775304,-4.2895743233945804,1.7901589938023976e-05,561,1130,8.124567741103189e-05
Basal Cells,ASCL3_regulon,0.031975325,0.02835666,0.17327134,4.209557975825896,2.5587078131667207e-05,561,1130,0.00010783125784059751
Basal Cells,ELF3_regulon,0.11063514,0.11869142,-0.10140599,-4.112089285429937,3.920945952626133e-05,561,1130,0.00014458488200308866
Basal Cells,JUNB_regulon,0.16880102,0.18737239,-0.15058468,-4.112142171317292,3.9200476358567064e-05,561,1130,0.00014458488200308866
Basal Cells,CEBPD_regulon,0.14010131,0.1520588,-0.11815881,-3.7425227045905665,0.00018218206622749736,561,1130,0.000579211291945779
Basal Cells,KLF4_regulon,0.18646894,0.20704947,-0.15104015,-3.75495088811908,0.00017337547093515402,561,1130,0.000579211291945779
Basal Cells,NR4A1_regulon,0.16155104,0.18047543,-0.15981236,-3.7365994852067645,0.00018652567028762377,561,1130,0.000579211291945779
Basal Cells,EHF_regulon,0.12978233,0.13749604,-0.083296,-3.58772571230138,0.00033357493064992296,561,1130,0.000930057788376383
Basal Cells,FOS_regulon,0.115956,0.12927818,-0.15690139,-3.5775716219291476,0.000346801209225092,561,1130,0.000930057788376383
Basal Cells,JUN_regulon,0.13751689,0.1515921,-0.14058588,-3.5806390033957594,0.00034275493953761304,561,1130,0.000930057788376383
Basal Cells,PAX5_regulon,0.0018801014,0.0015611318,0.26821816,3.416639866706737,0.0006339908722901134,561,1130,0.0016263244115268126
Basal Cells,GATA2_regulon,0.010152219,0.00837797,0.27712235,3.3795668596706183,0.0007260014650586467,561,1130,0.0017847536016025066
Basal Cells,LEF1_regulon,0.0066593955,0.004906614,0.44066352,3.2257218133538283,0.001256554254507894,561,1130,0.00296546804063863
Basal Cells,HES1_regulon,0.17521648,0.19102667,-0.12463563,-3.0808673678874525,0.002063985654482058,561,1130,0.004599916355782095
Basal Cells,NR4A2_regulon,0.05825758,0.064378895,-0.14414205,-3.074997034391006,0.0021050464679002808,561,1130,0.004599916355782095
Basal Cells,IRF9_regulon,0.0035188575,0.0022546577,0.6421987,2.8287603428643733,0.004672867703724777,561,1130,0.009846399804277208
Basal Cells,TP63_regulon,0.18171053,0.18961109,-0.061401382,-2.7051660241148583,0.006827025901857065,561,1130,0.013889466489985064
Basal Cells,TCF7_regulon,0.0075398725,0.0057859803,0.38197866,2.6496358423917132,0.008057857141137636,561,1130,0.01584711904423735
Basal Cells,IRF1_regulon,0.0647549,0.06817839,-0.07432514,-2.5867545223261708,0.009688458708421095,561,1130,0.01813079015770057
Basal Cells,KLF15_regulon,0.0054751853,0.0046323943,0.24114977,2.5816245912526994,0.009833648899091834,561,1130,0.01813079015770057
Basal Cells,CEBPB_regulon,0.037022706,0.03866395,-0.06257867,-2.5483593681061674,0.010823091457354224,561,1130,0.019350375635875734
Basal Cells,MEF2C_regulon,0.0048018107,0.0039491146,0.28204927,2.524613604683603,0.011582556174599442,561,1130,0.02009914159709903
Basal Cells,BACH2_regulon,0.008369922,0.0062571024,0.4197194,2.4347075961794635,0.014903827937573371,561,1130,0.02512359566619511
Basal Cells,FOSL1_regulon,0.028555447,0.02693293,0.08439481,2.3988509645525182,0.016446607082448914,561,1130,0.02695416160734683
Basal Cells,EOMES_regulon,0.0059334836,0.0042742197,0.47321832,2.30492562860937,0.021170738985223817,561,1130,0.03375874594941095
Basal Cells,NKX2-1_regulon,0.018439582,0.01685736,0.12942736,2.286997312795897,0.022195979943540285,561,1130,0.03446217938602308
Basal Cells,EBF1_regulon,0.00541866,0.004054611,0.41837263,2.259866852582589,0.023829515723777336,561,1130,0.036049780197509304
Basal Cells,RELB_regulon,0.015187634,0.01772811,-0.22314161,-2.194394124036633,0.02820708797485691,561,1130,0.04160545476291394
Basal Cells,RUNX3_regulon,0.03473661,0.037155684,-0.0971259,-2.086189598507533,0.03696145206708334,561,1130,0.05318843102336383
Basal Cells,XBP1_regulon,0.07205648,0.07544376,-0.06627342,-2.0477944442875295,0.04058014496365181,561,1130,0.05700544173465373
Basal Cells,NFKB1_regulon,0.027713202,0.028995808,-0.065270975,-1.899608187917765,0.057484556912401584,561,1130,0.07887415948445799
Basal Cells,STAT2_regulon,0.02821653,0.026051817,0.11515655,1.8471453876612316,0.06472607190384133,561,1130,0.08679177823469633
Basal Cells,TBX21_regulon,0.0037519936,0.004017466,-0.09862853,1.3881487713039198,0.1650917479844537,561,1130,0.21645362513517263
Basal Cells,KLF5_regulon,0.08737944,0.09116686,-0.061215654,-1.3314551000589563,0.18303930954333958,561,1130,0.23476781006645728
Basal Cells,NR4A3_regulon,0.021033868,0.02315475,-0.13859405,-1.301891889027301,0.19295334556719923,561,1130,0.24221802954180327
Basal Cells,SOX2_regulon,0.038301438,0.0401112,-0.06660649,-1.274496999377216,0.2024873354021559,561,1130,0.24652865997067225
Basal Cells,HES6_regulon,0.008001689,0.007683862,0.05847289,1.2681506928945707,0.20474414133157526,561,1130,0.24652865997067225
Basal Cells,SPDEF_regulon,0.058394548,0.05990347,-0.03680589,-1.2233034604172115,0.22121510065611694,561,1130,0.261033818774218
Basal Cells,REL_regulon,0.04080589,0.041837677,-0.036025327,-1.1094401449410862,0.26724035213342456,561,1130,0.3091604073700402
Basal Cells,FOXJ1_regulon,0.036245894,0.03725524,-0.039625738,-1.0073703823452098,0.3137568186953492,561,1130,0.35599331351972313
Basal Cells,IRF8_regulon,0.010783845,0.009525151,0.17905775,0.9276713501006575,0.3535780742019671,561,1130,0.38793798027733545
Basal Cells,IRF3_regulon,0.022498593,0.023107126,-0.038503055,-0.9248155121834671,0.35506188025383245,561,1130,0.38793798027733545
Basal Cells,MYB_regulon,0.022897083,0.021024102,0.12311969,0.7888987816801498,0.430171167846368,561,1130,0.4614563436897402
Basal Cells,BACH1_regulon,0.037518527,0.03735328,0.0063682008,0.19551912555282658,0.8449865665758787,561,1130,0.8852754759179321
Basal Cells,NFKB2_regulon,0.029936673,0.03211516,-0.10134068,-0.1824034254886932,0.8552661377512225,561,1130,0.8852754759179321
Basal Cells,STAT1_regulon,0.089320056,0.088963784,0.005766047,0.0975215762833141,0.9223122004988957,561,1130,0.9382141349902561
Basal Cells,SPI1_regulon,0.032557465,0.03192711,0.028206399,-0.008303084314794096,0.9933751733388622,561,1130,0.9933751733388622
Ciliated Cells,IRF7_regulon,0.033236444,0.0140438685,1.2428256,41.216342284069505,0.0,3975,6084,0.0
Ciliated Cells,ATF6_regulon,0.06627726,0.07639564,-0.2049763,-22.72071948664054,2.7959086947131924e-114,3975,6084,8.247930649403918e-113
Ciliated Cells,RELB_regulon,0.010010493,0.0058196657,0.78250486,21.702293644243035,1.9518031148209087e-104,3975,6084,3.8385461258144538e-103
Ciliated Cells,NFKB2_regulon,0.017532803,0.011599471,0.5959977,20.135950611195135,3.5738926258774958e-90,3975,6084,5.271491623169306e-89
Ciliated Cells,JUNB_regulon,0.33040765,0.36041206,-0.12540019,-18.467937762012816,3.74104948001116e-76,3975,6084,4.4144383864131685e-75
Ciliated Cells,STAT1_regulon,0.108378254,0.095419176,0.18372412,14.454109777871905,2.3616345173569845e-47,3975,6084,2.3222739420677016e-46
Ciliated Cells,FOSL2_regulon,0.08057179,0.08743132,-0.1178753,-14.323406492328472,1.5627153326663594e-46,3975,6084,1.3119316562314114e-45
Ciliated Cells,JUN_regulon,0.41124552,0.44276288,-0.10653431,-14.312984221258567,1.8155237423175835e-46,3975,6084,1.3119316562314114e-45
Ciliated Cells,KLF6_regulon,0.12984289,0.14329153,-0.1421863,-14.3062104473725,2.0012516789970682e-46,3975,6084,1.3119316562314114e-45
Ciliated Cells,FOS_regulon,0.43469432,0.46593982,-0.100142404,-13.410003993313278,5.283598075236524e-41,3975,6084,3.117322864389549e-40
Ciliated Cells,STAT2_regulon,0.03299156,0.027530864,0.26104698,11.491157840628826,1.4613994990846257e-30,3975,6084,7.838415495090266e-30
Ciliated Cells,NOTCH1_regulon,0.084143996,0.088852644,-0.07855437,-11.406266195374467,3.8907442604033636e-30,3975,6084,1.9129492613649874e-29
Ciliated Cells,FOXJ1_regulon,0.446851,0.47439128,-0.08628369,-11.114885060321058,1.0618728687695161e-28,3975,6084,4.8192691736462655e-28
Ciliated Cells,MYB_regulon,0.46674109,0.49496716,-0.08471033,-10.380069299783669,3.055533087232649e-25,3975,6084,1.2876889439051878e-24
Ciliated Cells,STAT3_regulon,0.10642085,0.11362665,-0.09452044,-10.313887176180405,6.098367412687237e-25,3975,6084,2.3986911823236464e-24
Ciliated Cells,SPI1_regulon,0.017922014,0.015151757,0.24224766,10.151748523178151,3.2547889743455444e-24,3975,6084,1.2002034342899195e-23
Ciliated Cells,ATF3_regulon,0.11662662,0.12689944,-0.12178852,-10.054267982443466,8.797279004109037e-24,3975,6084,3.0531733014260776e-23
Ciliated Cells,SOX2_regulon,0.33391607,0.35233498,-0.077462144,-9.934317053374443,2.9519176874481867e-23,3975,6084,9.166481239970684e-23
Ciliated Cells,IRF3_regulon,0.043262564,0.047816943,-0.14440273,-9.93542319063422,2.9193369057311244e-23,3975,6084,9.166481239970684e-23
Ciliated Cells,EHF_regulon,0.14661562,0.15400805,-0.07096685,-9.710315479402341,2.7249239352488196e-22,3975,6084,8.038525608984018e-22
Ciliated Cells,KLF5_regulon,0.3209087,0.33609682,-0.066714026,-9.29706962224315,1.443696886376972e-20,3975,6084,4.056100776011493e-20
Ciliated Cells,MEF2A_regulon,0.050418142,0.052940413,-0.07042652,-7.923173403115408,2.315243468854125e-15,3975,6084,6.20906203010879e-15
Ciliated Cells,HES1_regulon,0.09992228,0.09227137,0.114923276,7.135010222735032,9.677996679260691e-13,3975,6084,2.409427144487571e-12
Ciliated Cells,SPDEF_regulon,0.27049953,0.28149205,-0.057468135,-7.1332720070410955,9.8010595707969e-13,3975,6084,2.409427144487571e-12
Ciliated Cells,NR4A1_regulon,0.22062644,0.23204294,-0.0727861,-6.985621996368499,2.8359670237539166e-12,3975,6084,6.692882176059243e-12
Ciliated Cells,XBP1_regulon,0.3430532,0.35711506,-0.05795672,-6.773812513081945,1.2543220209601753e-11,3975,6084,2.8463461244865516e-11
Ciliated Cells,RELA_regulon,0.022340283,0.023771282,-0.08957228,-6.193596114446042,5.880680042304094e-10,3975,6084,1.2850374907257093e-09
Ciliated Cells,FOSL1_regulon,0.0056830514,0.0044754795,0.34462357,6.084028829431502,1.171995165276696e-09,3975,6084,2.4695612411187523e-09
Ciliated Cells,RUNX3_regulon,0.02614429,0.027800139,-0.08859622,-5.512352512750453,3.540688622368958e-08,3975,6084,6.963354290658951e-08
Ciliated Cells,IRF9_regulon,0.0018263158,0.0013548047,0.4308513,5.517086077912929,3.4466664105636184e-08,3975,6084,6.963354290658951e-08
Ciliated Cells,CEBPD_regulon,0.07647696,0.07235073,0.080017574,5.240133888892618,1.604601336354435e-07,3975,6084,3.053918672416505e-07
Ciliated Cells,EBF1_regulon,0.0031965575,0.002361933,0.43655106,5.210556129720851,1.8827540730707097e-07,3975,6084,3.471327822224121e-07
Ciliated Cells,REL_regulon,0.055584442,0.05797807,-0.06082624,-5.021034434332102,5.139394408573743e-07,3975,6084,9.188614245631842e-07
Ciliated Cells,ASCL3_regulon,0.013790764,0.012211581,0.1754524,4.923494197300858,8.501239883225327e-07,3975,6084,1.475215156206748e-06
Ciliated Cells,PAX5_regulon,0.0011230056,0.0009061516,0.3095409,4.810896447349213,1.5025485310789117e-06,3975,6084,2.532867523818737e-06
Ciliated Cells,HES6_regulon,0.013442933,0.012534798,0.10090916,4.378115855027664,1.1970971363964357e-05,3975,6084,1.9619091957608252e-05
Ciliated Cells,BACH2_regulon,0.004751506,0.0035116484,0.43623638,4.3705695408331815,1.2392287923249688e-05,3975,6084,1.9760675337073824e-05
Ciliated Cells,NR4A3_regulon,0.017561734,0.016808238,0.06326686,4.139148068353429,3.485979151807873e-05,3975,6084,5.412441314649066e-05
Ciliated Cells,CEBPB_regulon,0.033207815,0.0338813,-0.028966362,-4.027972494878641,5.625992345388126e-05,3975,6084,8.298338709447486e-05
Ciliated Cells,MEF2C_regulon,0.0029570342,0.00239366,0.30493265,4.031031052190597,5.553270551497309e-05,3975,6084,8.298338709447486e-05
Ciliated Cells,IRF1_regulon,0.052646376,0.04956512,0.0870089,3.8863588332522587,0.00010175905666012219,3975,6084,0.00014643376446212705
Ciliated Cells,TCF7_regulon,0.0044346573,0.0034092227,0.3793798,3.826929414253923,0.00012975170196902276,3975,6084,0.0001822702480041034
Ciliated Cells,LEF1_regulon,0.003765243,0.0029448685,0.3545398,3.551265962929924,0.00038338278813000964,3975,6084,0.0005260368488295481
Ciliated Cells,NKX2-1_regulon,0.009952002,0.008673246,0.19841476,3.509288931808079,0.00044930651822571496,3975,6084,0.0006024791948935723
Ciliated Cells,EOMES_regulon,0.0033318105,0.0026684531,0.3203027,3.239345790313215,0.0011980423127424258,3975,6084,0.0015707665878178473
Ciliated Cells,BACH1_regulon,0.023435155,0.023910303,-0.028958026,-2.729841410725379,0.006336479967023615,3975,6084,0.00812722430553029
Ciliated Cells,ELF3_regulon,0.1769496,0.17878786,-0.014910202,-2.612029013691925,0.009000661524933848,3975,6084,0.011298702765342492
Ciliated Cells,GATA2_regulon,0.005644687,0.0048449123,0.22042306,2.2762619263731545,0.02283033745224198,3975,6084,0.028062289785047434
Ciliated Cells,KLF15_regulon,0.0033167496,0.0028999706,0.19373183,1.9568200203899582,0.05036863240248211,3975,6084,0.060647945137682534
Ciliated Cells,IRF8_regulon,0.0069525656,0.0063200933,0.13759954,1.9315228368361876,0.05341842796923442,3975,6084,0.06303374500369661
Ciliated Cells,TBX21_regulon,0.0025897054,0.002981634,-0.20331523,-1.7755645063012615,0.07580472455670641,3975,6084,0.0876956617420721
Ciliated Cells,GATA3_regulon,0.0012643165,0.0015439981,-0.2883134,-1.410655091620922,0.15834633873448356,3975,6084,0.17966219202566405
Ciliated Cells,NR4A2_regulon,0.04331642,0.04365523,-0.0112405205,1.3395813832466417,0.1803814796424229,3975,6084,0.20080202450760284
Ciliated Cells,ATF4_regulon,0.13203643,0.13380772,-0.019225258,-1.2194162498193755,0.222686245406583,3975,6084,0.24330534220348882
Ciliated Cells,KLF4_regulon,0.11155925,0.111062646,0.006436518,1.0878175198275513,0.27667567359135636,3975,6084,0.29679754076163684
Ciliated Cells,TP63_regulon,0.030353956,0.029523361,0.040027622,0.4648234573865349,0.6420578879440901,3975,6084,0.6764538462268093
Ciliated Cells,CEBPA_regulon,0.0003873221,0.00047038824,-0.2803182,0.29606553855989676,0.7671800310402743,3975,6084,0.7940986286206348
