celltype,ASCL3_regulon,ATF3_regulon,ATF4_regulon,ATF6_regulon,BACH1_regulon,BACH2_regulon,CEBPB_regulon,CEBPD_regulon,EHF_regulon,ELF3_regulon,FOS_regulon,FOSL1_regulon,FOSL2_regulon,FOXJ1_regulon,GATA3_regulon,HES1_regulon,IRF1_regulon,IRF7_regulon,IRF8_regulon,JUN_regulon,JUNB_regulon,KLF15_regulon,KLF4_regulon,KLF5_regulon,KLF6_regulon,MAFB_regulon,MEF2C_regulon,MYB_regulon,NFKB1_regulon,NFKB2_regulon,NKX2-1_regulon,NR4A1_regulon,NR4A2_regulon,NR4A3_regulon,REL_regulon,RELA_regulon,RELB_regulon,SOX2_regulon,SPDEF_regulon,STAT1_regulon,STAT2_regulon,STAT3_regulon,XBP1_regulon,CEBPA_regulon,EOMES_regulon,GATA2_regulon,IRF3_regulon,LEF1_regulon,MEF2A_regulon,NOTCH1_regulon,RUNX3_regulon,SPI1_regulon,TP63_regulon,EBF1_regulon,HES6_regulon,TCF7_regulon,TBX21_regulon,IRF9_regulon,PAX5_regulon
B Cells,0.013285767,0.17094143,0.17651965,0.04086731,0.047262788,0.004883247,0.038409933,0.044421792,0.083598964,0.075783916,0.09512046,0.014488511,0.08377132,0.02403447,0.0031171239,0.09517421,0.07106746,0.025824685,0.11324685,0.11208858,0.15581727,0.0037416606,0.10422165,0.02670126,0.2564307,0.0940252,0.0032505558,0.019418087,0.09948295,0.038739808,0.018413639,0.1727298,0.14138806,0.14517605,0.10503521,0.015761675,0.016136026,0.021467755,0.017323945,0.077839136,0.021682728,0.05197739,0.029534841,3.150482e-05,0.0045237215,0.00608043,0.014347664,0.00363232,0.04243699,0.03558747,0.13976835,0.09792995,0.03983321,0.0032505558,0.005989622,0.0040233503,0.044594143,0.0015770942,0.0018717569
Basal Cells,0.029557176,0.21236882,0.20193517,0.07261866,0.037408106,0.006958044,0.038119454,0.14809184,0.13493697,0.11601871,0.124858454,0.027471209,0.07940614,0.036920384,0.005277942,0.18578154,0.06704263,0.017495953,0.009942731,0.14692256,0.18121122,0.004911995,0.20022176,0.08991036,0.19991559,0.10239091,0.0042320024,0.021645477,0.028570296,0.031392433,0.017382272,0.17419715,0.062348112,0.022451136,0.04149538,0.024850758,0.01688529,0.0395108,0.059402876,0.08908198,0.026769975,0.10167465,0.07432001,0.0129267955,0.0048246915,0.008966588,0.02290524,0.0054881102,0.05370654,0.09959196,0.03635314,0.03213623,0.18699002,0.004507143,0.0077893026,0.0063678455,0.003929394,0.002674064,0.0016669519
Ciliated Cells,0.012835626,0.12283994,0.13310777,0.07239717,0.023722537,0.004001601,0.033615157,0.073981285,0.15108679,0.17806144,0.45359257,0.004952674,0.08472065,0.46350822,0.0014334767,0.09529477,0.050782736,0.021628171,0.0065700267,0.4303082,0.34855524,0.0030646685,0.111258894,0.33009493,0.13797705,0.061594345,0.0026162874,0.48381308,0.0164168,0.013944138,0.0091785705,0.2275315,0.043521345,0.017105997,0.05703218,0.023205796,0.0074757487,0.3450564,0.27714816,0.10054019,0.029688759,0.11077915,0.35155824,0.0004375631,0.002930591,0.005160958,0.046017196,0.003269055,0.05194369,0.08699193,0.0271458,0.016246475,0.029851586,0.0026917504,0.012893665,0.003814442,0.0028267563,0.0015411311,0.0009918455
Dendritic Cells,0.013384915,0.2409924,0.18840902,0.025824685,0.09694403,0.0020024092,0.085294664,0.055937734,0.067790955,0.08135471,0.12625834,0.018263528,0.119033545,0.015064863,0.003274648,0.1511805,0.11381857,0.019416235,0.16320515,0.1557626,0.22648443,0.0020283542,0.16878244,0.023932543,0.3202891,0.20206356,0.0018467383,0.009126205,0.17927817,0.086781874,0.007995738,0.2518032,0.17219885,0.20841086,0.1792587,0.011999629,0.036947742,0.01846831,0.017605634,0.06143718,0.015587472,0.04923091,0.027644552,0.00030392883,0.0026278724,0.0024768347,0.010373425,0.001799481,0.031414937,0.029827649,0.15523906,0.22556987,0.030452188,0.0016187917,0.0046126763,0.002086731,0.02629633,0.00072646403,0.0004002965
Deuterosomal Cells,0.018907648,0.10703823,0.12134806,0.06488151,0.031854518,0.010692877,0.034432158,0.09540241,0.14218606,0.16512007,0.1881123,0.011931705,0.07828383,0.19788188,0.004305543,0.1342805,0.045686785,0.033425115,0.004946059,0.17404352,0.16632572,0.006251918,0.09657285,0.19236729,0.11819378,0.04209917,0.0059916945,0.18445066,0.016341293,0.03540399,0.017772863,0.119820125,0.032944165,0.015257065,0.04777602,0.026754536,0.015544597,0.14059019,0.17030333,0.09789541,0.02508125,0.090387516,0.19376749,0.0008560531,0.0074954857,0.0107262805,0.03013,0.007962445,0.054045543,0.05337953,0.024627155,0.023629593,0.047816873,0.007910987,0.06625304,0.00974113,0.0037241583,0.0047679874,0.0029118895
Developing Ciliated Cells,0.027881285,0.11140356,0.13473889,0.06262322,0.035698656,0.019528821,0.03328094,0.0828973,0.11616178,0.13585736,0.20199922,0.021866072,0.06887803,0.1966809,0.0020374253,0.117680706,0.058770347,0.026536955,0.005949697,0.19491066,0.18907975,0.010432189,0.10495508,0.16731171,0.13011776,0.04806141,0.010756869,0.19625601,0.02589292,0.034656953,0.026731558,0.14418827,0.04804694,0.022203589,0.054308273,0.034939263,0.01842457,0.15679727,0.13415219,0.10014196,0.01906611,0.08845878,0.1643649,0.0013197497,0.014091785,0.017897263,0.030099213,0.014295776,0.06217177,0.056534324,0.030378249,0.029767705,0.022962643,0.014216637,0.00998054,0.017148826,0.0054322574,0.00914723,0.0050419937
Developing Secretory and Goblet Cells,0.025496176,0.14402774,0.1559849,0.08603545,0.03316243,0.0063579204,0.03886602,0.11127431,0.15444744,0.1095505,0.074920274,0.0077083874,0.07122083,0.03929835,0.003282992,0.11103546,0.04162432,0.0153014,0.0042367773,0.09249417,0.11051659,0.0047715195,0.1123749,0.077260174,0.15710364,0.056463894,0.004163858,0.026390977,0.020791741,0.016725434,0.017316243,0.095040515,0.034794208,0.009992222,0.02709392,0.026856367,0.009901478,0.041767567,0.047381707,0.1000606,0.046346255,0.10998056,0.066401996,0.0059800367,0.0042837695,0.008884496,0.038513415,0.0051860255,0.06611194,0.089227706,0.027949506,0.020148432,0.1513161,0.003667358,0.010749287,0.0060299453,0.0025175004,0.002006741,0.0013835235
Enteroendocrine Cells,0.031967264,0.01851733,0.030507062,0.02021502,0.024553915,0.019428754,0.006222721,0.02478498,0.022605905,0.015057766,0.027442234,0.012394096,0.008193197,0.026896663,0.0043966626,0.027140565,0.04546855,0.012259307,0.010728498,0.028360076,0.033064827,0.011460206,0.00923941,0.02084724,0.015587292,0.0129492935,0.012769577,0.028931322,0.0133311935,0.015192555,0.04318357,0.01889923,0.015410784,0.013084082,0.018372914,0.011880616,0.01605905,0.016752247,0.02317715,0.038116172,0.006960847,0.029335687,0.025333762,0.0036521184,0.014881258,0.03140244,0.021174582,0.01657253,0.014274711,0.02211489,0.02279525,0.022894736,0.011928755,0.02029204,0.0059884465,0.015314506,0.013889602,0.051498715,0.011498717
Goblet Cells,0.017340906,0.15837076,0.17091462,0.07091008,0.035739176,0.0056343633,0.035674863,0.18760148,0.20327279,0.2440234,0.09375246,0.01072038,0.12473773,0.0831585,0.0069081993,0.27100298,0.06097665,0.065041155,0.0064915717,0.098352,0.12732652,0.0038619617,0.17580958,0.23005036,0.16511072,0.051595446,0.003449459,0.0313441,0.017712861,0.08223079,0.012088997,0.106996894,0.04780553,0.017360827,0.06342185,0.03800072,0.027602049,0.059809968,0.22123212,0.11370905,0.038004003,0.10947818,0.19793336,0.0007562391,0.0042524794,0.007150076,0.027329141,0.0044308403,0.054377355,0.039711952,0.03412451,0.02766186,0.0914746,0.0037683519,0.0075569535,0.0051803296,0.0038752742,0.0022007949,0.0012803049
Ionocytes,0.17802697,0.14831059,0.15216264,0.07612914,0.03679132,0.008899221,0.039771136,0.08437838,0.1484547,0.115901925,0.088657506,0.012260255,0.07977114,0.056966428,0.007578486,0.12291849,0.07485622,0.016887613,0.0075570503,0.11324364,0.134598,0.005537858,0.12252011,0.07654696,0.16600646,0.04976784,0.004953502,0.040813547,0.022870664,0.04135767,0.015616344,0.11360375,0.05303456,0.027785914,0.045113772,0.038003232,0.023132173,0.0526451,0.056143977,0.09693015,0.027466033,0.10130755,0.06775689,0.00088345865,0.006327661,0.008895595,0.025371322,0.006664688,0.06440377,0.033116672,0.031670295,0.031822648,0.061856285,0.005536539,0.016115617,0.00731203,0.005035286,0.0033320144,0.0021985886
