celltype,ASCL3_regulon,ATF3_regulon,ATF4_regulon,ATF6_regulon,BACH1_regulon,BACH2_regulon,CEBPB_regulon,CEBPD_regulon,EHF_regulon,ELF3_regulon,FOS_regulon,FOSL1_regulon,FOSL2_regulon,FOXJ1_regulon,GATA3_regulon,HES1_regulon,IRF1_regulon,IRF7_regulon,IRF8_regulon,JUN_regulon,JUNB_regulon,KLF15_regulon,KLF4_regulon,KLF5_regulon,KLF6_regulon,MAFB_regulon,MEF2C_regulon,MYB_regulon,NFKB1_regulon,NFKB2_regulon,NKX2-1_regulon,NR4A1_regulon,NR4A2_regulon,NR4A3_regulon,REL_regulon,RELA_regulon,RELB_regulon,SOX2_regulon,SPDEF_regulon,STAT1_regulon,STAT2_regulon,STAT3_regulon,XBP1_regulon,CEBPA_regulon,EOMES_regulon,GATA2_regulon,IRF3_regulon,LEF1_regulon,MEF2A_regulon,NOTCH1_regulon,RUNX3_regulon,SPI1_regulon,TP63_regulon,EBF1_regulon,HES6_regulon,TCF7_regulon,TBX21_regulon,IRF9_regulon,PAX5_regulon
B Cells,-0.412726,0.122600496,0.46220517,-0.70554614,-0.07666281,-0.7506522,-0.26568553,-1.011357,-0.7370984,-0.7867185,-0.44539294,-0.31016657,-0.22564887,-0.5814612,-0.36174455,-0.7404409,-0.008057523,-0.20789245,1.1815419,-0.41668776,-0.23361395,-0.6882087,-0.63924724,-0.87926793,0.73633677,-0.0018608406,-0.6486076,-0.4716195,0.6987365,-0.33647773,0.16633102,0.25639307,0.96982634,1.0540093,0.64065015,-0.7319503,-0.4155294,-0.6160326,-0.8851084,-0.32392856,-0.2573457,-0.95366246,-0.78627604,-0.70912665,-0.61727345,-0.5691201,-0.9536299,-0.7843441,-0.39151883,-0.5617257,1.2380236,0.2890355,-0.4823578,-0.66518927,-0.44645137,-0.9068162,1.3711398,-0.39463958,-0.33899602
Basal Cells,0.0057022744,0.85746837,1.0931975,0.8147352,-0.4806108,-0.34944415,-0.2757411,1.2688314,0.25510344,-0.16422115,-0.12162865,1.44063,-0.32109728,-0.46694374,-0.17487395,0.72513217,-0.1917005,-0.7170767,-0.6151395,0.0021100515,0.15628465,-0.23708099,1.3974483,-0.21563374,0.03854548,0.116311215,-0.3237804,-0.45298597,-0.5144834,-0.50105536,0.045267656,0.27987507,-0.40166625,-0.6735518,-0.80744874,-0.12514503,-0.3834725,-0.40009195,-0.38101512,0.20725034,0.2780767,0.83211386,-0.29500765,2.9619524,-0.56260425,-0.13778119,-0.047702856,-0.32292625,0.3951477,2.1312432,-0.6150667,-0.5245274,2.6056697,-0.40593186,-0.33234993,-0.3703174,-0.6451866,-0.30220583,-0.41938776
Ciliated Cells,-0.42430165,-0.73065716,-0.6155835,0.80413,-1.0415885,-0.9211379,-0.4316666,-0.3612057,0.5672285,0.79568017,3.457374,-1.5961328,-0.20489092,3.324153,-0.5073488,-0.73849076,-0.93359816,-0.46444994,-0.673798,3.4091656,2.7256842,-0.9491682,-0.48994815,2.3060715,-0.7262089,-0.4599718,-0.85853004,3.4133303,-0.72241336,-0.89188874,-0.9176946,1.133386,-0.7283463,-0.74879366,-0.45335868,-0.23496594,-0.7860553,3.2567024,2.22751,0.7486045,0.5852727,1.1592666,2.7461412,-0.5935285,-0.90665513,-0.706536,2.3989885,-0.8746652,0.27209252,1.6011007,-0.7800525,-0.72100985,-0.69181824,-0.7804812,-0.008728582,-0.9546214,-0.6998599,-0.39766994,-0.6843861
Dendritic Cells,-0.41017634,1.3652134,0.75738305,-1.4257996,1.9597942,-1.307726,1.357326,-0.75806767,-1.0426173,-0.70052934,-0.106387734,0.19891767,0.5453907,-0.6611743,-0.34812167,0.16546063,1.9425676,-0.5996786,2.0504246,0.10839104,0.85140944,-1.3486353,0.73044574,-0.9083369,1.5247959,1.5242645,-1.113226,-0.5577174,2.0639248,0.7396413,-1.0565373,1.5218067,1.5044519,1.9441462,2.3322341,-0.9831119,0.4748901,-0.65193015,-0.88173395,-1.0988548,-0.89885896,-1.052352,-0.8070114,-0.631572,-0.96164197,-1.1076806,-1.3743532,-1.2400554,-1.1609089,-0.8040684,1.5152425,1.8673488,-0.67921484,-1.0018526,-0.533751,-1.3499795,0.4638586,-0.46631607,-0.9165858
Deuterosomal Cells,-0.26815623,-1.0109589,-0.9075422,0.44427386,-0.70825493,0.37276855,-0.40338445,0.10994489,0.3952054,0.5954561,0.5670303,-0.6549675,-0.3456376,0.9635251,-0.2589684,-0.10789683,-1.1661136,0.25676644,-0.7020423,0.32817677,-0.07226727,0.27941793,-0.80152065,0.8600647,-0.9704727,-0.73535615,0.25862107,0.9089795,-0.7237051,-0.41119844,0.0911158,-0.590322,-0.9118804,-0.7748205,-0.66431034,0.0019549676,-0.44083342,0.8096342,0.9475401,0.6236494,0.100341894,0.4265321,1.0152646,-0.4743912,-0.07747204,0.12520635,0.717129,0.29228458,0.41881156,0.18686953,-0.82518387,-0.629715,-0.3148238,0.29634473,3.3743062,0.40160286,-0.655363,-0.12576593,0.06928537
Developing Ciliated Cells,-0.037394185,-0.93352365,-0.5750874,0.3361449,-0.55068195,2.0813944,-0.44323626,-0.16510096,-0.10776188,0.14271477,0.7182203,0.6847428,-0.5513037,0.952852,-0.45511848,-0.37639844,-0.5691437,-0.16434722,-0.6845869,0.5790558,0.277098,1.8907832,-0.62368715,0.5970055,-0.8232475,-0.6511349,1.8357404,1.0077386,-0.5602897,-0.4279317,1.1427004,-0.20035793,-0.64981866,-0.67703646,-0.5154376,0.54838365,-0.3176151,1.0036019,0.5144599,0.72978956,-0.5327394,0.35722652,0.69273466,-0.3423843,1.1207023,1.196916,0.71386975,1.8669844,0.9860595,0.31960654,-0.7221304,-0.553815,-0.83637995,1.5973179,-0.19342344,2.0967312,-0.5706684,0.24324137,0.9054114
Developing Secretory and Goblet Cells,-0.0987286,-0.35481325,-0.047612052,1.4571422,-0.654643,-0.46549138,-0.24989714,0.459042,0.63217914,-0.2642949,-0.66531694,-1.2245078,-0.50007635,-0.44581068,-0.3474001,-0.4838853,-1.3514737,-0.8512426,-0.7143783,-0.6522652,-0.9291604,-0.29122996,-0.46627146,-0.3484484,-0.49005312,-0.53244334,-0.34633398,-0.41328695,-0.647564,-0.829589,0.03751709,-0.9868708,-0.8797786,-0.8489321,-1.1356639,0.008753395,-0.68227166,-0.3730828,-0.52502525,0.7259456,2.3384402,1.1305708,-0.38186386,0.98432344,-0.6608591,-0.15004997,1.6046188,-0.39803565,1.2611015,1.6951703,-0.7656509,-0.6727608,1.8570666,-0.57919514,-0.14468414,-0.44764024,-0.71519405,-0.35843632,-0.53064144
Enteroendocrine Cells,0.06767902,-2.5812044,-3.1628556,-1.6943951,-1.00751,2.0620441,-1.3799123,-1.4432621,-1.9159019,-1.7262502,-1.1822212,-0.5926113,-1.8782309,-0.5560248,-0.25108823,-1.8408847,-1.176071,-1.0372236,-0.6014733,-1.423329,-2.1183546,2.2870517,-2.6543481,-0.94072956,-2.237354,-1.1471207,2.501882,-0.39203542,-0.77520394,-0.8639248,3.0738611,-2.205362,-1.2161177,-0.8054089,-1.3344193,-0.9910575,-0.41882277,-0.6724681,-0.81498873,-2.2006779,-1.8067938,-1.7672489,-0.8323595,0.32160303,1.2641048,3.2152767,-0.23091479,2.433069,-2.3573756,-1.1285803,-0.85800964,-0.63880175,-1.0679218,2.850787,-0.4465259,1.6769775,-0.15131825,3.8118968,3.4398572
Goblet Cells,-0.30844587,-0.1003867,0.32304892,0.73292685,-0.549021,-0.6054072,-0.36036566,2.1378329,1.5758193,1.8162183,-0.46028668,-0.8183222,0.6701178,-0.056024432,-0.033886965,2.1035886,-0.46847564,2.1896403,-0.67516255,-0.58183837,-0.67106086,-0.6418364,0.8795303,1.2557003,-0.39118978,-0.60121393,-0.582777,-0.37185103,-0.7002395,0.63769925,-0.5760645,-0.7955326,-0.6540076,-0.7452065,-0.30773538,0.7527727,0.075039,-0.15714991,1.557652,1.3707796,1.4604353,1.1125188,1.060962,-0.5028066,-0.66654277,-0.4092606,0.42062277,-0.58580256,0.44197354,-0.38818944,-0.65500146,-0.57985455,0.60131633,-0.55835825,-0.3470811,-0.6420607,-0.64787006,-0.34208483,-0.57115763
Ionocytes,3.8236852,-0.2788411,-0.14250727,0.9828197,-0.5058931,0.025925485,-0.21856472,-0.13252512,0.5163584,-0.16602805,-0.51575655,-0.6106605,-0.3131163,-0.28879404,0.024080398,-0.2916774,0.1648141,-0.7542681,-0.6566316,-0.4028009,-0.5594145,0.004169739,-0.2510352,-0.35593647,-0.3801301,-0.6270303,-0.08498717,-0.2926333,-0.6119965,-0.2778389,-0.16201943,-0.6898029,-0.563274,-0.5984558,-0.72498405,0.75294036,-0.11620252,-0.24289964,-0.42005578,0.5780448,0.35133532,0.81892264,-0.3670014,-0.46658927,-0.28959966,-0.14839128,0.213363,-0.030385684,1.1418637,-0.66568375,-0.69897836,-0.5284049,-0.02021229,-0.19354826,0.19554622,-0.15425642,-0.5903519,-0.24676506,-0.21070537
